tag      b2 b3 | meanD3 minD3 loopy | meanD1 | avg-prob | least-tok(clip) | imposs
b12_6    12  6 | 0.974  0.919   0   | 0.721 |  58.84% | 0.00100%      | 0
b8_4      8  4 | 0.952  0.797   0   | 0.677 |  60.02% | 0.00100%      | 1
b6_3      6  3 | 0.932  0.510   0   | 0.664 |  62.21% | 0.00100%      | 0
b4_2      4  2 | 0.916  0.537   0   | 0.649 |  64.83% | 0.00100%      | 0
b12_0    12  0 | 0.963  0.292   1   | 0.776 |  74.76% | 0.00101%      | 0
b8_0      8  0 | 0.945  0.292   1   | 0.759 |  75.66% | 0.00114%      | 0
b6_0      6  0 | 0.938  0.292   2   | 0.760 |  76.41% | 0.00120%      | 0
b4_0      4  0 | 0.945  0.477   2   | 0.764 |  76.24% | 0.00101%      | 0
b3_0      3  0 | 0.974  0.555   0   | 0.792 |  76.95% | 0.00101%      | 0
